Author-abbrv;Title-abbrv;shortauthor;origtitle;shorthand;bibtexkey;author;maintitle;title;origlanguage;year;number;volume;translator;editor;entry
Cic.;Sest.;Cicero;pro P. Sestio;Cic. Sest.;Cic_Sest;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_Sest,author ={Tullius Cicero, Marcus}, title ={pro P. Sestio}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {pro P. Sestio}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. Sest.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;Sull.;Cicero;pro P. Sulla;Cic. Sull.;Cic_Sull;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_Sull,author ={Tullius Cicero, Marcus}, title ={pro P. Sulla}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {pro P. Sulla}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. Sull.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;Tim.;Cicero;Timaeus;Cic. Tim.;Cic_Tim;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_Tim,author ={Tullius Cicero, Marcus}, title ={Timaeus}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Timaeus}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. Tim.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;top.;Cicero;topica;Cic. top.;Cic_top;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_top,author ={Tullius Cicero, Marcus}, title ={topica}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {topica}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. top.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;Tull.;Cicero;pro M.Tullio;Cic. Tull.;Cic_Tull;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_Tull,author ={Tullius Cicero, Marcus}, title ={pro M.Tullio}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {pro M.Tullio}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. Tull.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;Tusc.;Cicero;Tusculanae disputationes;Cic. Tusc.;Cic_Tusc;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_Tusc,author ={Tullius Cicero, Marcus}, title ={Tusculanae disputationes}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Tusculanae disputationes}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. Tusc.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;Vatin.;Cicero;in P. Vatinium testem interrogatio;Cic. Vatin.;Cic_Vatin;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_Vatin,author ={Tullius Cicero, Marcus}, title ={in P. Vatinium testem interrogatio}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {in P. Vatinium testem interrogatio}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. Vatin.}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Cic.;Verr. 1,2;Cicero;in Verrem actio prima, secunda;Cic. Verr. 1,2;Cic_Verr_1,2;Tullius Cicero, Marcus;;;;;;;;;@Book{Cic_Verr_1,2,author ={Tullius Cicero, Marcus}, title ={in Verrem actio prima, secunda}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {in Verrem actio prima, secunda}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cic. Verr. 1,2}, shortauthor = {Cicero}, keywords = {ancient}, options = {antik},}
Claud.;carm.;Claudius Claudianus;carmina;Claud. carm.;Claud_carm;;;;;;;;;;@Book{Claud_carm,author ={}, title ={carmina}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {carmina}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Claud. carm.}, shortauthor = {Claudius Claudianus}, keywords = {ancient}, options = {antik},}
Claud.;rapt. Pros.;Claudius Claudianus;de raptu Proserpinae;Claud. rapt. Pros.;Claud_rapt_Pros;;;;;;;;;;@Book{Claud_rapt_Pros,author ={}, title ={de raptu Proserpinae}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {de raptu Proserpinae}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Claud. rapt. Pros.}, shortauthor = {Claudius Claudianus}, keywords = {ancient}, options = {antik},}
Colum.;;Columella;;Colum.;Colum;;;;;;;;;;@Book{Colum,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Colum.}, shortauthor = {Columella}, keywords = {ancient}, options = {antik},}
Cels.;artes;Cornelius Celsus;;Cels. artes;Cels_artes;;;;;;;;;;@Book{Cels_artes,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cels. artes}, shortauthor = {Cornelius Celsus}, keywords = {ancient}, options = {antik},}
Nep.;Att.;Cornelius Nepos;Atticus;Nep. Att.;Nep_Att;;;;;;;;;;@Book{Nep_Att,author ={}, title ={Atticus}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Atticus}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Nep. Att.}, shortauthor = {Cornelius Nepos}, keywords = {ancient}, options = {antik},}
Nep.;Hann.;Cornelius Nepos;Hannibal;Nep. Hann.;Nep_Hann;;;;;;;;;;@Book{Nep_Hann,author ={}, title ={Hannibal}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Hannibal}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Nep. Hann.}, shortauthor = {Cornelius Nepos}, keywords = {ancient}, options = {antik},}
Curt.;;Curtius Rufus;historiae Alexandri Magni;Curt.;Curt;;;;;;;;;;@Book{Curt,author ={}, title ={historiae Alexandri Magni}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {historiae Alexandri Magni}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Curt.}, shortauthor = {Curtius Rufus}, keywords = {ancient}, options = {antik},}
Cypr.;;Cyprianus;;Cypr.;Cypr;;;;;;;;;;@Book{Cypr,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Cypr.}, shortauthor = {Cyprianus}, keywords = {ancient}, options = {antik},}
Demokr.;;Demokritos;;Demokr.;Demokr;;;;;;;;;;@Book{Demokr,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Demokr.}, shortauthor = {Demokritos}, keywords = {ancient}, options = {antik},}
Dt;;Deuteronomium (= 5. Mose);;D.;D;;;;;;;;;;@Book{D,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {D.}, shortauthor = {Deuteronomium (= 5. Mose)}, keywords = {ancient}, options = {antik},}
Diod.;;Diodorus Siculus;;Diod.;Diod;;;;;;;;;;@Book{Diod,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Diod.}, shortauthor = {Diodorus Siculus}, keywords = {ancient}, options = {antik},}
