Aaa Author-abbrv;Title-abbrv;shortauthor;origtitle;shorthand;bibtexkey;author;maintitle;title;origlanguage;year;number;volume;translator;editor;entry;
Soph.;Oid. T.;Sophokles;Oedipus Rex (Oedipus Tyrannus);Soph. Oid. T.;Soph_Oid_T;;;;;;;;;;@Book{Soph_Oid_T,author ={}, title ={Oedipus Rex (Oedipus Tyrannus)}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Oedipus Rex (Oedipus Tyrannus)}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Soph. Oid. T.}, shortauthor = {Sophokles}, keywords = {ancient}, options = {antik},};@Book{Soph_Oid_T,author ={},  origtitle = {Oedipus Rex (Oedipus Tyrannus) }, shorthand = {Soph. Oid. T.}, shortauthor = {Sophokles}, keywords = {ancient}, options = {antik},}
Soph.;Phil.;Sophokles;Philoctetes;Soph. Phil.;Soph_Phil;;;;;;;;;;@Book{Soph_Phil,author ={}, title ={Philoctetes}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Philoctetes}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Soph. Phil.}, shortauthor = {Sophokles}, keywords = {ancient}, options = {antik},};@Book{Soph_Phil,author ={},  origtitle = {Philoctetes }, shorthand = {Soph. Phil.}, shortauthor = {Sophokles}, keywords = {ancient}, options = {antik},}
Stat.;Ach.;Statius;Achilleis;Stat. Ach.;Stat_Ach;;;;;;;;;;@Book{Stat_Ach,author ={}, title ={Achilleis}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Achilleis}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Stat. Ach.}, shortauthor = {Statius}, keywords = {ancient}, options = {antik},};@Book{Stat_Ach,author ={},  origtitle = {Achilleis }, shorthand = {Stat. Ach.}, shortauthor = {Statius}, keywords = {ancient}, options = {antik},}
Stat.;silv.;Statius;silvae;Stat. silv.;Stat_silv;;;;;;;;;;@Book{Stat_silv,author ={}, title ={silvae}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {silvae}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Stat. silv.}, shortauthor = {Statius}, keywords = {ancient}, options = {antik},};@Book{Stat_silv,author ={},  origtitle = {silvae }, shorthand = {Stat. silv.}, shortauthor = {Statius}, keywords = {ancient}, options = {antik},}
Stat.;Theb.;Statius;Thebais;Stat. Theb.;Stat_Theb;;;;;;;;;;@Book{Stat_Theb,author ={}, title ={Thebais}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Thebais}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Stat. Theb.}, shortauthor = {Statius}, keywords = {ancient}, options = {antik},};@Book{Stat_Theb,author ={},  origtitle = {Thebais }, shorthand = {Stat. Theb.}, shortauthor = {Statius}, keywords = {ancient}, options = {antik},}
Stesich.;;Stesichoros;;Stesich.;Stesich;;;;;;;;;;@Book{Stesich,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Stesich.}, shortauthor = {Stesichoros}, keywords = {ancient}, options = {antik},};@Book{Stesich,author ={},  origtitle = { }, shorthand = {Stesich.}, shortauthor = {Stesichoros}, keywords = {ancient}, options = {antik},}
Stob.;;Stobaios;;Stob.;Stob;;;;;;;;;;@Book{Stob,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Stob.}, shortauthor = {Stobaios}, keywords = {ancient}, options = {antik},};@Book{Stob,author ={},  origtitle = { }, shorthand = {Stob.}, shortauthor = {Stobaios}, keywords = {ancient}, options = {antik},}
Strab.;;Strabon;;Strab.;Strab;;;;;;;;;;@Book{Strab,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Strab.}, shortauthor = {Strabon}, keywords = {ancient}, options = {antik},};@Book{Strab,author ={},  origtitle = { }, shorthand = {Strab.}, shortauthor = {Strabon}, keywords = {ancient}, options = {antik},}
Suet.;Aug.;Sueton;divus Augustus;Suet. Aug.;Suet_Aug;Suetonius Tranquillus, Caius;;;;;;;;;@Book{Suet_Aug,author ={Suetonius Tranquillus, Caius}, title ={divus Augustus}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {divus Augustus}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Suet. Aug.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},};@Book{Suet_Aug,author ={Suetonius Tranquillus, Caius},  origtitle = {divus Augustus }, shorthand = {Suet. Aug.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},}
Suet.;Cal.;Sueton;Caligula;Suet. Cal.;Suet_Cal;Suetonius Tranquillus, Caius;;;;;;;;;@Book{Suet_Cal,author ={Suetonius Tranquillus, Caius}, title ={Caligula}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Caligula}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Suet. Cal.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},};@Book{Suet_Cal,author ={Suetonius Tranquillus, Caius},  origtitle = {Caligula }, shorthand = {Suet. Cal.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},}
Suet.;Claud.;Sueton;divus Claudius;Suet. Claud.;Suet_Claud;Suetonius Tranquillus, Caius;;;;;;;;;@Book{Suet_Claud,author ={Suetonius Tranquillus, Caius}, title ={divus Claudius}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {divus Claudius}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Suet. Claud.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},};@Book{Suet_Claud,author ={Suetonius Tranquillus, Caius},  origtitle = {divus Claudius }, shorthand = {Suet. Claud.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},}
Suet.;Dom.;Sueton;Domitianus;Suet. Dom.;Suet_Dom;Suetonius Tranquillus, Caius;;;;;;;;;@Book{Suet_Dom,author ={Suetonius Tranquillus, Caius}, title ={Domitianus}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Domitianus}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Suet. Dom.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},};@Book{Suet_Dom,author ={Suetonius Tranquillus, Caius},  origtitle = {Domitianus }, shorthand = {Suet. Dom.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},}
Suet.;gramm.;Sueton;de grammaticis;Suet. gramm.;Suet_gramm;Suetonius Tranquillus, Caius;;;;;;;;;@Book{Suet_gramm,author ={Suetonius Tranquillus, Caius}, title ={de grammaticis}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {de grammaticis}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Suet. gramm.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},};@Book{Suet_gramm,author ={Suetonius Tranquillus, Caius},  origtitle = {de grammaticis }, shorthand = {Suet. gramm.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},}
Suet.;Iul.;Sueton;divus Iulius;Suet. Iul.;Suet_Iul;Suetonius Tranquillus, Caius;;;;;;;;;@Book{Suet_Iul,author ={Suetonius Tranquillus, Caius}, title ={divus Iulius}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {divus Iulius}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Suet. Iul.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},};@Book{Suet_Iul,author ={Suetonius Tranquillus, Caius},  origtitle = {divus Iulius }, shorthand = {Suet. Iul.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},}
Suet.;Tib.;Sueton;divus Tiberius;Suet. Tib.;Suet_Tib;Suetonius Tranquillus, Caius;;;;;;;;;@Book{Suet_Tib,author ={Suetonius Tranquillus, Caius}, title ={divus Tiberius}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {divus Tiberius}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Suet. Tib.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},};@Book{Suet_Tib,author ={Suetonius Tranquillus, Caius},  origtitle = {divus Tiberius }, shorthand = {Suet. Tib.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},}
Suet.;Tit.;Sueton;divus Titus;Suet. Tit.;Suet_Tit;Suetonius Tranquillus, Caius;;;;;;;;;@Book{Suet_Tit,author ={Suetonius Tranquillus, Caius}, title ={divus Titus}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {divus Titus}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Suet. Tit.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},};@Book{Suet_Tit,author ={Suetonius Tranquillus, Caius},  origtitle = {divus Titus }, shorthand = {Suet. Tit.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},}
Suet.;Vesp.;Sueton;divus Vespasianus;Suet. Vesp.;Suet_Vesp;Suetonius Tranquillus, Caius;;;;;;;;;@Book{Suet_Vesp,author ={Suetonius Tranquillus, Caius}, title ={divus Vespasianus}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {divus Vespasianus}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Suet. Vesp.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},};@Book{Suet_Vesp,author ={Suetonius Tranquillus, Caius},  origtitle = {divus Vespasianus }, shorthand = {Suet. Vesp.}, shortauthor = {Sueton}, keywords = {ancient}, options = {antik},}
